Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/01/2020 01,0,39.93,8140
09/01/2020 02,0,39.88,7927
09/01/2020 03,0,39.84,7850
09/01/2020 04,0,39.8,7856
09/01/2020 05,20.98,39.79,7948
09/01/2020 06,27.92,39.79,8092
09/01/2020 07,28.77,39.79,8317
09/01/2020 08,24.87,39.79,8588
09/01/2020 09,28.06,39.79,8847
09/01/2020 10,29.94,39.77,9049
09/01/2020 11,28.76,39.72,9186
09/01/2020 12,32.07,39.69,9339
09/01/2020 13,33.26,39.68,9389
09/01/2020 14,33.2,39.65,9404
09/01/2020 15,34.69,39.61,9341
09/01/2020 16,33.67,39.36,9334
09/01/2020 17,33.2,38.87,9396
09/01/2020 18,33.16,38.03,9385
09/01/2020 19,33.14,37.84,9256
09/01/2020 20,33.25,37.8,9104
09/01/2020 21,31.98,37.77,9072
09/01/2020 22,31.55,37.76,8995
09/01/2020 23,28.09,37.75,8659
09/01/2020 24,27.42,37.73,8343
09/02/2020 01,25.94,37.73,8114
09/02/2020 02,3.12,37.69,8047
09/02/2020 03,4.02,37.66,7918
09/02/2020 04,10.46,37.64,7882
09/02/2020 05,0,37.62,7920
09/02/2020 06,4.73,37.6,8034
09/02/2020 07,24.2,37.61,8361
09/02/2020 08,26.65,37.62,8652
09/02/2020 09,28.05,37.63,8855
09/02/2020 10,27.87,37.64,9005
09/02/2020 11,26.94,37.63,9091
09/02/2020 12,27.22,37.63,9244
09/02/2020 13,31.51,37.62,9240
09/02/2020 14,35.45,37.61,9203
09/02/2020 15,37.64,37.62,9204
09/02/2020 16,36.35,37.61,9212
09/02/2020 17,37.21,37.62,9215
09/02/2020 18,37.64,37.63,9194
09/02/2020 19,37.77,37.65,9031
09/02/2020 20,37.79,37.67,8920
09/02/2020 21,40.19,37.69,8950
09/02/2020 22,40.15,37.71,8877
09/02/2020 23,37.23,37.72,8561
09/02/2020 24,35.86,37.74,8275
09/03/2020 01,34.21,37.74,8117
09/03/2020 02,32.6,37.75,8028
09/03/2020 03,32.68,37.76,7987
09/03/2020 04,33.32,37.77,7919
09/03/2020 05,32.46,37.79,7930
09/03/2020 06,33.66,37.8,8091
09/03/2020 07,39.57,37.81,8434
09/03/2020 08,39.73,37.83,8670
09/03/2020 09,39.79,37.84,8842
09/03/2020 10,39.74,37.84,8962
09/03/2020 11,39.35,37.84,9107
09/03/2020 12,35.78,37.84,9231
09/03/2020 13,35.57,37.83,9293
09/03/2020 14,36.42,37.83,9314
09/03/2020 15,41.47,37.83,9344
09/03/2020 16,50.33,37.85,9378
09/03/2020 17,51.29,37.86,9372
09/03/2020 18,47.47,37.87,9364
09/03/2020 19,37.79,37.87,9253
09/03/2020 20,39.44,37.87,9173
09/03/2020 21,40.48,37.88,9180
09/03/2020 22,39.51,37.88,9067
09/03/2020 23,37.69,37.89,8761
09/03/2020 24,36,37.9,8463
09/04/2020 01,35.92,37.91,8303
09/04/2020 02,35.19,37.92,8180
09/04/2020 03,31.83,37.92,8060
09/04/2020 04,31.78,37.93,7905
09/04/2020 05,31.43,37.93,7913
09/04/2020 06,32.14,37.94,8061
09/04/2020 07,34.65,37.94,8420
09/04/2020 08,32.64,37.95,8719
09/04/2020 09,35.6,37.96,8933
09/04/2020 10,38.16,37.97,9043
09/04/2020 11,37.43,37.97,9146
09/04/2020 12,38.03,37.96,9242
09/04/2020 13,40.55,37.97,9329
09/04/2020 14,42.94,37.97,9310
09/04/2020 15,40.63,37.97,9347
09/04/2020 16,44.71,37.94,9363
