,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type,Fuel Type
,Coal,Coal,Coal,Coal,Coal,Coal,Cogeneration,Cogeneration,Cogeneration,Cogeneration,Cogeneration,Cogeneration,Combined Cycle,Combined Cycle,Combined Cycle,Combined Cycle,Combined Cycle,Combined Cycle,Dual Fuel,Dual Fuel,Dual Fuel,Dual Fuel,Dual Fuel,Dual Fuel,Gas Fired Steam,Gas Fired Steam,Gas Fired Steam,Gas Fired Steam,Gas Fired Steam,Gas Fired Steam,Hydro,Hydro,Hydro,Hydro,Hydro,Hydro,Other,Other,Other,Other,Other,Other,Simple Cycle,Simple Cycle,Simple Cycle,Simple Cycle,Simple Cycle,Simple Cycle,Solar,Solar,Solar,Solar,Solar,Solar,Storage,Storage,Storage,Storage,Storage,Storage,Wind,Wind,Wind,Wind,Wind,Wind
Date - MST,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor,Capacity,Available,Utilized,Avg. Availability Factor,Avg. Availability Utilization,Avg. Capacity Factor
8/30/2020 12:00:00 AM,"4,132","3,703","1,802",89.62%,48.70%,43.60%,"5,136","2,834","1,455",55.18%,51.30%,28.30%,"1,798","1,573",946,87.49%,60.10%,52.60%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,154,86.80%,19.80%,17.20%,381,159,56,41.73%,35.30%,14.70%,"1,076",805,187,74.81%,23.30%,17.40%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",340,98.88%,19.20%,19.00%
8/30/2020 1:00:00 AM,"4,132","3,703","1,801",89.62%,48.60%,43.60%,"5,136","2,835","1,438",55.20%,50.70%,28.00%,"1,798","1,577",788,87.71%,50.00%,43.80%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,157,86.80%,20.30%,17.60%,381,159,53,41.73%,33.10%,13.80%,"1,076",903,184,83.92%,20.40%,17.10%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",386,98.88%,21.80%,21.60%
8/30/2020 2:00:00 AM,"4,132","3,703","1,787",89.62%,48.30%,43.20%,"5,136","2,838","1,420",55.26%,50.00%,27.60%,"1,798","1,577",733,87.71%,46.50%,40.80%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,172,86.80%,22.20%,19.20%,381,159,56,41.73%,35.30%,14.70%,"1,076",903,183,83.92%,20.30%,17.00%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",403,98.88%,22.70%,22.50%
8/30/2020 3:00:00 AM,"4,132","3,703","1,770",89.62%,47.80%,42.80%,"5,136","2,850","1,414",55.49%,49.60%,27.50%,"1,798","1,581",664,87.93%,42.00%,36.90%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,139,86.80%,18.00%,15.60%,381,159,54,41.73%,33.80%,14.10%,"1,076",903,182,83.92%,20.20%,16.90%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",574,98.88%,32.40%,32.00%
8/30/2020 4:00:00 AM,"4,132","3,703","1,751",89.62%,47.30%,42.40%,"5,136","2,850","1,389",55.49%,48.70%,27.00%,"1,798","1,587",559,88.26%,35.20%,31.10%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,150,86.80%,19.30%,16.80%,381,159,53,41.73%,33.00%,13.80%,"1,076",903,98,83.92%,10.80%,9.10%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",844,98.88%,47.70%,47.10%
8/30/2020 5:00:00 AM,"4,132","3,703","1,756",89.62%,47.40%,42.50%,"5,136","2,848","1,414",55.45%,49.70%,27.50%,"1,798","1,585",624,88.15%,39.40%,34.70%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,776,219,86.80%,28.20%,24.50%,381,159,56,41.73%,35.20%,14.70%,"1,076",903,124,83.92%,13.80%,11.60%,107,84,0,78.50%,0.00%,0.00%,,,,,,,"1,791","1,771",637,98.88%,35.90%,35.50%
8/30/2020 6:00:00 AM,"4,132","3,703","1,771",89.62%,47.80%,42.80%,"5,136","2,759","1,374",53.72%,49.80%,26.80%,"1,798","1,551",854,86.26%,55.10%,47.50%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,247,88.93%,31.10%,27.60%,381,159,57,41.73%,36.10%,15.10%,"1,076",906,190,84.20%,21.00%,17.70%,107,84,2,78.50%,2.30%,1.80%,,,,,,,"1,791","1,771",466,98.88%,26.30%,26.00%
8/30/2020 7:00:00 AM,"4,132","3,703","1,839",89.62%,49.70%,44.50%,"5,136","2,753","1,380",53.60%,50.10%,26.90%,"1,798","1,548",942,86.10%,60.80%,52.40%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,235,88.93%,29.50%,26.20%,381,159,53,41.73%,33.60%,14.00%,"1,076",905,199,84.11%,22.00%,18.50%,107,84,10,78.50%,12.10%,9.50%,,,,,,,"1,791","1,771",476,98.88%,26.90%,26.60%
8/30/2020 8:00:00 AM,"4,132","3,703","1,879",89.62%,50.70%,45.50%,"5,136","2,753","1,434",53.60%,52.10%,27.90%,"1,798","1,540","1,007",85.65%,65.40%,56.00%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,247,88.93%,31.10%,27.70%,381,159,52,41.73%,32.70%,13.70%,"1,076",899,223,83.55%,24.80%,20.70%,107,84,40,78.50%,47.10%,37.00%,,,,,,,"1,791","1,771",427,98.88%,24.10%,23.80%
8/30/2020 9:00:00 AM,"4,132","3,407","1,978",82.45%,58.10%,47.90%,"5,136","2,801","1,527",54.54%,54.50%,29.70%,"1,798","1,530",993,85.09%,64.90%,55.20%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,249,88.93%,31.40%,27.90%,381,159,55,41.73%,34.70%,14.50%,"1,076",909,215,84.48%,23.60%,19.90%,107,84,55,78.50%,65.50%,51.40%,,,,,,,"1,791","1,771",421,98.88%,23.80%,23.50%
8/30/2020 10:00:00 AM,"4,132","3,287","1,998",79.55%,60.80%,48.40%,"5,136","2,832","1,539",55.14%,54.40%,30.00%,"1,798","1,534","1,028",85.32%,67.00%,57.20%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,282,88.93%,35.40%,31.50%,381,156,50,40.94%,32.10%,13.20%,"1,076",901,209,83.74%,23.20%,19.40%,107,84,65,78.50%,77.20%,60.60%,,,,,,,"1,791","1,771",470,98.88%,26.60%,26.30%
8/30/2020 11:00:00 AM,"4,132","3,287","2,185",79.55%,66.50%,52.90%,"5,136","2,837","1,569",55.24%,55.30%,30.50%,"1,798","1,530",994,85.09%,65.00%,55.30%,930,930,149,100.00%,16.00%,16.00%,,,,,,,894,795,263,88.93%,33.00%,29.40%,381,139,51,36.48%,36.40%,13.30%,"1,076",898,201,83.46%,22.40%,18.70%,107,84,62,78.50%,73.60%,57.80%,,,,,,,"1,791","1,771",451,98.88%,25.50%,25.20%
