Date - MST,Calgary,Central,Edmonton, Losses,Northeast,Northwest,South,System Load
8/31/2020 12:00:00 AM,809,"1,019","1,199",182,964,788,750,"5,697"
8/31/2020 1:00:00 AM,788,"1,028","1,184",185,964,766,744,"5,647"
8/31/2020 2:00:00 AM,783,"1,016","1,167",162,957,760,742,"5,572"
8/31/2020 3:00:00 AM,802,"1,022","1,175",179,959,777,743,"5,643"
8/31/2020 4:00:00 AM,857,"1,029","1,217",203,974,803,762,"5,830"
8/31/2020 5:00:00 AM,969,"1,055","1,313",191,980,819,799,"6,110"
8/31/2020 6:00:00 AM,"1,065","1,082","1,409",189,985,841,838,"6,395"
8/31/2020 7:00:00 AM,"1,141","1,065","1,491",201,981,844,852,"6,560"
8/31/2020 8:00:00 AM,"1,194","1,073","1,547",207,984,849,855,"6,694"
8/31/2020 9:00:00 AM,"1,246","1,093","1,609",201,981,814,868,"6,797"
8/31/2020 10:00:00 AM,"1,285","1,133","1,655",236,961,799,870,"6,924"
8/31/2020 11:00:00 AM,"1,307","1,150","1,661",199,952,782,871,"6,908"
8/31/2020 12:00:00 PM,"1,314","1,149","1,656",200,965,787,872,"6,929"
8/31/2020 1:00:00 PM,"1,320","1,152","1,641",192,969,809,877,"6,943"
8/31/2020 2:00:00 PM,"1,328","1,157","1,648",225,973,809,878,"7,002"
8/31/2020 3:00:00 PM,"1,331","1,161","1,645",236,970,813,891,"7,031"
8/31/2020 4:00:00 PM,"1,342","1,151","1,618",236,969,872,903,"7,074"
8/31/2020 5:00:00 PM,"1,266","1,135","1,555",245,962,864,897,"6,909"
8/31/2020 6:00:00 PM,"1,210","1,123","1,515",254,967,846,897,"6,796"
8/31/2020 7:00:00 PM,"1,186","1,123","1,523",261,983,848,897,"6,806"
8/31/2020 8:00:00 PM,"1,149","1,107","1,483",260,977,849,886,"6,696"
8/31/2020 9:00:00 PM,"1,050","1,091","1,384",288,952,831,854,"6,435"
8/31/2020 10:00:00 PM,954,"1,072","1,282",257,927,829,816,"6,121"
8/31/2020 11:00:00 PM,892,"1,043","1,210",267,900,802,794,"5,893"
9/1/2020 12:00:00 AM,854,981,"1,167",259,878,792,781,"5,698"
9/1/2020 1:00:00 AM,830,982,"1,142",282,877,787,772,"5,658"
9/1/2020 2:00:00 AM,820,"1,000","1,141",274,884,785,758,"5,647"
9/1/2020 3:00:00 AM,834,"1,036","1,161",214,882,780,758,"5,649"
9/1/2020 4:00:00 AM,893,"1,032","1,214",203,918,777,768,"5,791"
9/1/2020 5:00:00 AM,"1,010","1,058","1,304",259,934,716,792,"6,058"
9/1/2020 6:00:00 AM,"1,109","1,083","1,411",256,931,720,826,"6,321"
9/1/2020 7:00:00 AM,"1,180","1,123","1,541",202,927,715,848,"6,522"
9/1/2020 8:00:00 AM,"1,241","1,148","1,596",207,938,728,867,"6,711"
9/1/2020 9:00:00 AM,"1,289","1,134","1,642",218,958,734,857,"6,816"
9/1/2020 10:00:00 AM,"1,334","1,146","1,678",227,992,753,840,"6,955"
9/1/2020 11:00:00 AM,"1,364","1,152","1,690",253,991,752,842,"7,029"
9/1/2020 12:00:00 PM,"1,383","1,155","1,691",200,969,738,853,"6,973"
9/1/2020 1:00:00 PM,"1,394","1,122","1,652",220,954,735,854,"6,917"
